alb sq Albanian
ara ar Arabic
arm hy Armenian
ass ay Assyrian
bos bs Bosnian
pob pb Portuguese-BR
bul bg Bulgarian
cat ca Catalan
chi zh Chinese
hrv hr Croatian
cze cs Czech
dan da Danish
dut nl Dutch
eng en English
est et Estonian
fin fi Finnish
fre fr French
glg gl Galician
geo ka Georgian
ger de German
ell gr Greek
heb he Hebrew
hin hi Hindi
hun hu Hungarian
ice is Icelandic
ind id Indonesian
ita it Italian
jpn ja Japanese
kaz kk Kazakh
kor ko Korean
lav lv Latvian
lit lt Lithuanian
ltz lb Luxembourgish
mac mk Macedonian
may ms Malay
nor no Norwegian
per fa Farsi
pol pl Polish
por pt Portuguese
rum ro Romanian
rus ru Russian
scc sr Serbian
slo sk Slovak
slv sl Slovenian
spa es Spanish
swe sv Swedish
tha th Thai
tur tr Turkish
ukr uk Ukrainian
vie vi Vietnamese
